10ba2017121423130_4184996623265619|不抱太大的希望，尽最大的努力，该干什么就干什么。 ​​​​
ee371008939_afLYBYhWqnDjtSTvo7sz+A==|原标题：“当时没想那么多，只想救人”[\n张金凤摄\n12月13日早晨，最高检驻秦城监狱检察室干警在上班高速路上突遇车祸现场，全体干警不顾生命危险，果断冲在一线救人，彰显了检察人满满的正能量。\n当天清早，检察室干警驱车行驶在北京西六环高速公路上，赶往秦城监狱。大约七点一刻，车行至苏家坨时，对侧一辆大货车不明原因紧急刹车，冲过中间隔离护栏，车头侧转，横跨护栏停在双向内侧车道上，与检察室车辆相距只有30米左右。就在大货车冲断隔离护栏偏转车头的刹那，尘土扑面而起，撞击声震耳欲聋。检察室车辆紧急制动，才避免了迎面相撞。大货车卡在隔离护栏停下后，只见驾驶室司机头上满是鲜血。\n大货车驾驶员可能有生命危险，车辆随时可能爆炸或起火！紧急时刻，检察室主任申国君迅速指挥司机陈柯靠边停车，设置警示标志，一边指挥拨打119和122报警，一边和张金凤、刘晓科、陈柯冲到车祸现场察看情况。\n救人最重要！他们一起冲到大货车驾驶室下面，拉拽已经被撞坏的驾驶舱，想要救出驾驶员。他们用尽全身力气，不断左右摆动卡在舱口的门板，好不容易折断门板，驾驶舱还是无法打开。此时，刘晓科捡起一个手臂长的铁棍，查看可以进入驾驶室的缝隙。尽管大货车前挡风玻璃已全部破碎，但是因为车头过高，货车前脸已被撞得面目全非，无法爬上去，右侧副驾驶门被隔离带卡住，同样打不开。情急之下，刘晓科登着隔离带的护栏铁柱，纵身从货车窗户翻了进去。\n进入驾驶室，在确认驾驶员暂时没有生命危险后，刘晓科迅速挪动司机驾驶位置的遮挡物，用力往后挪动司机座椅，但是司机两条腿卡在了方向盘下面，难以动弹。\n驾驶室外的陈柯焦急地看着车内的刘晓科，一次又一次地拨打119和122，告诉话务员事故具体位置，请求同时派出消防车和救护车，尽快救人。刘晓科从副驾驶座位上拿了一床被子盖在司机背上，安慰他：“先盖上点吧，天冷容易感冒！”\n此时正值早高峰，六环路大货车居多，两侧车辆不断呼啸而过，一些小客车绕过大货车快速抢道通过，极有可能发生连环事故。而且，大货车发动机还在渗漏燃油和防冻液，一旦爆炸或起火，后果不堪设想。\n时间一分一秒过去，看到远处两辆呼啸而至的消防车，检察干警的心情才稍稍缓和下来。看到消防人员对事故受伤人员进行施救后，检察干警默默离开了。\n“驾驶座椅和车门卡得太紧，实在没办法把人救出来。”刘晓科感到非常遗憾。如果那时大货车爆炸或起火，刘晓科很可能面临生命危险。“但当时根本没想那么多，只是一心想着要救人。” ]\n1
f1df1008939_sfwnWK7eMlL5HWyNVR3f0w==|马云的一句“未来30年，计划经济越来越强大”让计划经济又重新回到人们的视野之中，很多人都在问大数据技术是否有可能拯救计划经济？要搞清楚这个问题，首先要理解以下几问题：\n计划经济的优缺点在哪里？\n在需要完成某一项特定目标时，计划经济是有他的优势的，尽可能的将资源分配到实现这一目标的生产上去，这套体系在全面战争时期让苏联有了资格和美国打冷战。但是计划经济的特性同时会导致市场缺乏活力，继而造成经济主体的利益受到损害，导致动力不足和效率低下，简单来说就是会杀死一批企业家，把看不见的手给绑了起来。所以在需要全面提升综合国力的大环境下，计划经济就很难起到作用了，甚至是导致市场的落后。\n计划经济需不需要被拯救？\n这个问题是基于计划经济已经失败了的前提，所以需要被拯救。基于这个前提的假设都是耍流氓，计划经济并没有失败，在一些市场调节不了或者不能交给市场调节的特定行业，依然正在使用计划经济，举个大家都知道的例子——盐，我们都知道从古至今国家对盐的流通都是有控制的，不仅可以严格控制价格也可以保证任何情况下都能保持盐的正常供应。所以计划经济并不是失败了，而是计划经济的特性注定它很难在复杂抽象的目标中起到正向的作用。\n所以最后一个问题就是\n大数据能否解决计划经济在复杂抽象的目标中存在的问题？\n首先大数据是否真的能够抓住市场上的所有数据。我给大家打个比方，你去超市买了一把牙刷50块钱，大数据抓了这笔交易数据50块，然后你看到了牙膏只卖10块钱，你心里就会觉得牙膏只要10块牙刷居然要卖50块，太贵了，这时候你对牙刷的预期价格就变了，但是这个变化点大数据是没有办法抓到的，然而消费者对市场的预期远远比市场的实际价格要重要的多。第二点就算大数据能够抓到所有数据，那它真的就能真的预测未来么。再给大家打个比方，假设我们有一套大数据可以抓取所有数据，并且前几个月在股票市场上买什么涨什么，这时候市场一定对你的投资策略做出反应，提出一系列的对抗策略，这时候你的预测就失效了，大数据依然无法使得计划经济精确无误的去预测市场。因此计划经济牺牲了市场活力和自我调节能力，但是无法保证计划不会脱离实际的这个问题依然无法解决。而且大数据即使能够准确预计短期内的宏观市场趋势（要预测微观市场根本做不到），但是市场的反应是大数据没有办法提前预知和应对的，大数据永远敌不过看不见的手。\n总结一下，大数据并不能使得计划经济取代市场经济，但是一定能够帮助计划经济更高效准确的完成某些特定目标\n1
6fc21000911_QU2nDFKGmr/ngY0QsnE5YQ==|有35年历史的新荣戏院希望能找到理念契合接棒者，延续老戏院的生命。 记者王慧瑛／摄影分享\nfacebook\n陪伴嘉义人已走过35个年头的嘉义市老字号的新荣戏院，10月在外墙贴出售大字，引起地方讨论，纷纷问「老戏院要少一家了吗？」88岁经营者江金富坦言「想帮老戏院找新主人」，他苦笑说「人要退休了，希望老戏院别跟著道别，期待有人接手」。\n新荣戏院今年10月中旬在外墙挂出出售布条。 记者王慧瑛／摄影分享\nfacebook\n江金富一生与电影为伍，20岁即到戏院作学徒、放映师，因缘际会顶下嘉义市国华街上「大光明戏院」。大光明租约到期後，江另觅新地点，到新荣路上开设「新荣戏院」，以播放二轮片为主。\n新荣戏院业者江金富、陈金满夫妇都已年逾80岁，准备退休了，希望老戏院别跟著道别。 记者王慧瑛／摄影分享\nfacebook\n4年前为跟上时代潮流，新荣戏院斥资重新装修，添购数位电影放映机，还将已除役、有30年历史的旧式35厘米放映机送给嘉义市文化局典藏。\n新荣戏院有3个厅，夏天开冷气开销大，但暑假期间是旺季，许多在外地念书的学子回乡会到新荣戏院回味一番。\n台湾图书室团队花一年时间完成《嘉义市老戏院踏查志》，上月刚出版。台湾图书室文化协会常务理事郭盈良说，民国40年，台语电影兴起，催生电影院的设立，此後是电影产业的黄金十年，戏院蓬勃发展。\n新荣戏院希望有人接手，延续老戏院生命。 记者王慧瑛／摄影分享\nfacebook\n民国40至60年期间，嘉义市有10多家戏院，播映洋片、台语片、国语片，甚至还能演歌仔戏、布袋戏等。民国60年後，受电视及录影带的冲击，戏院竞争更形激烈，有戏院会「插片」，偷演三级片。\n嘉义市目前开业超过20年的老戏院仅存新荣、嘉年华2家；连锁的秀泰嘉义影城前年开幕，「in89豪华嘉义影城」正兴建中。
41011008939_9jwKV97K45bKcHgzEQYf+g==|欢迎各位朋友们来吐槽，小编真是不胜荣幸，小编将努力分享更好的文章给你，您的支持是我前进的动力，动动手指给点意见吧，小编会虚心接受好好改进！\n山珍海味虽然可口，却不一定健康。吃东西，营养健康一定要摆在首位，吃的贵并不代表着吃的好。吃的健康最重要。下面介绍4种医生从来不会买的蔬菜，赶紧和小编去看看吧！\n1、冰虾\n说是鲜虾，可能都不知道冻了多长时间了，这个东西贵，买的人并不是很多，而且很多人都买活的，所以就造成冰冻鲜虾可能要放好长时间才能卖出去，他能保持这么长时间变质，是因为经过各种药水的处理，这东西要是被吃了，对人体的伤害很大。\n2、木薯\n尽管木薯的块根富含淀粉，但其全株各部位，包括根茎叶都含有毒物质，而且新鲜块根毒性较大。木薯含有的有毒物质亚麻仁苦苷，如果摄入生的或为煮熟的木薯或喝其汤，都有可能引起中毒。1个人如果食用150-300g生木薯即可引起中毒，甚至死亡。\n解毒方法：1般泡6天左右就可去除70%的 青苷，再加热煮熟，即可食用。\n3、毒肉松\n黑心商贩使用了死猪肉、母猪肉、并且大量使用豆粉，用双氧水漂白母猪肉呸病死猪被制成肉松还要加上添加剂、着色剂等，使肉松色泽更加好看。\n4、盒装鲜猪肉\n盒装的鲜猪肉，很多人也都喜欢买，但是小编真的想说，他们外表看着好看可能并不鲜，还不如去市场上买那种看着就是刚杀的猪肉。\n1
da411008939_45R8Qm4lxdu2aq18rwkFJw==|东起成都西至拉萨的川藏公路以风景优美、路途艰险著称，一路景色壮丽，有雪山、草原、冰川和大江大河，是众多旅游探险爱好者和摄影师向往的“圣地”。你可能不知道，这里还有一道你未能观赏到的汽车兵专属“风景”。在你眼里，川藏线是一条美丽景观大道；可身处川藏线上的汽车兵们却无暇欣赏，在他们眼里更多的只有暴风雪、冰雹等恶劣天气气候，塌方、飞石等自然灾害，心里只有“安全”与“圆满”。\n百步之内有险情，十里之内埋忠骨。川藏线平均海拔4000余米，该团每年执行六七趟进藏运输任务，几乎每趟都会经历雪崩、泥石流、塌方或飞石等险情。\n那天，当车队行至海拔近5000米的雀儿山时，由于雪大路滑，车子一下子侧滑到悬崖边，右后车轮几乎悬在崖边上。坐在副驾驶座位的小编瞬间惊出一身冷汗，失声喊了出来，幸亏驾驶员经验丰富，换挡、踩油门、转动方向盘……随着一阵提心吊胆的晃动，汽车最终脱离险境。更让小编没有想到的是，团队历史上已有227名官兵在执行任务中长眠在这条川藏线上。\n川藏线不平凡，它平均每公里深埋着1名英烈的尸骨！川藏线不平凡，它是造福沿线30余万群众的幸福线。但上线官兵说，其实缺氧不算什么，睡不着觉不算什么，呕吐不算什么，头痛剧烈更不算什么，我的心里是甜蜜的，我们走的是一条“平凡之路”……\n（以上图片均来自网络）\n1
ed4b1008939_NsIlTEQcNmYzH5tCVHM7vg==|摘要：印度尼西亚西爪哇省南部15日深夜发生6.9级地震，目前尚无人员伤亡和财产损失报告。\n印度尼西亚西爪哇省南部15日深夜发生6.9级地震，目前尚无人员伤亡和财产损失报告。\n据印尼气象、气候和地球物理局网站消息，地震发生于雅加达时间15日23时47分（北京时间16日0时47分），震中位于西爪哇省打横县西南部，距西爪哇省首府万隆市约100公里，震源深度为107公里。\n印尼地震监测部门已对爪哇岛中西部的西爪哇省、中爪哇省和日惹特区发布海啸预警。\n印尼媒体援引目击者的话报道说，地震持续了约一分钟，许多居民惊恐地逃离住所。距离震中200多公里的印尼首都雅加达有强烈震感。\n印尼地处环太平洋地震带，每年发生大小地震数千次。2004年12月，印尼苏门答腊岛附近海域发生强烈地震并引发印度洋海啸，造成重大人员伤亡。\n1
653a1008939_vMwtFczxNpp2UY8q1dhHYA==|12月15日报道，近日，云南大理无量山2000多亩冬樱花正值盛花期。漫山遍野的冬樱花，起伏于绿色茶垄间，美不胜收。图：央视新闻 李常明/摄\n冬樱花，日本夏季的应景花，原产于中国，广泛分布于云南地区，在欧洲则多被用来食用。冬樱花的花期11月至翌年1月。\n云南大理冬樱花盛开。\n123下一页
a4fe1008939_af9db0C1vPmIspLOVWvurA==|张家界新闻网12月15日讯（通讯员 赵前进 张瑶）12月15日上午，张家界市公安局交警支队政委李建忠带领支队相关科室负责人深入市交警支队直属一大队，就新时代交通管理工作进行专题调研。调研会上，直属一大队负责人汇报了当前大队道路交通管理工作情况，参会人员对如何进一步开展好新时代交通管理工作提出了很多好的思路和建议。李建忠指出，新时代道路交通管理工作具有参与度特别高、道路交通增速特别快、对民生和社会发展影响非常大、社会关注度非常高、管理难度大等特点，要充分发挥道安委作用，更新观念，厘清思路，坚持政府主导、部门联动、社会参与、标本兼治，综合施策。同时要加强宣传和科技建设力度，充分发挥交警主力军作用，大胆改革勤务模式，学习借鉴省内外城市、农村道路交通管理工作先进经验，进一步做好新时代道路交通管理工作。\n1
102f1016700_cmXgcz4W1pA0u2ul4T6Zaw==|江南化工三易收购方案 标的公司盈利能力待考\n　　标的多个项目电价补贴款尚未结算\n　　秦枭，陈家运\n　　12月13日，安徽江南化工股份有限公司(以下简称“江南化工”，002226.sz)发布了《发行股份购买资产并募集配套资金暨关联交易报告书(草案)》(以下简称“收购草案”)，拟作价24.99亿元，以发行股份的方式购买盾安控股、青鸟旅游、杭州秋枫等9名交易对方合计持有的盾安新能源100%股权，相比其合并归属于母公司股东的所有者权益18.74亿元，增值率为33.37%。并向不超过10名特定投资者非公开发行股份募集配套资金6.2亿元，用于标的公司的山西盾安隰县98mw风电场项目及支付中介费用。\n　　《中国经营报》记者梳理发现，经过长达近一年的收购筹划，江南化工的收购方案几经更改。上述收购草案与江南化工在2017年1月25日首次公布的收购预案相差甚远。其中，标的公司盾安新能源存在的应收账款高筑，高额的利息支出等问题，也受到了证监会的问询。\n　　对于此次收购，记者多次致电江南化工，其工作人员表示，公司正在召开股东大会及管理论坛，暂不方便接受采访。\n　　三易收购方案为哪般？\n　　记者梳理发现，此次公布的收购草案已是江南化工在2017年内，对于收购方案做出的第三次调整。其中，草案两次对非公开发行股份募集配套资金的金额做出调整，对交易作价做出一次调整。\n　　早在今年1月25日，江南化工就首次公布收购预案，而当时的交易作价为39.80亿元，募集配套资金的金额不超过30亿元。\n　　然而，就在短短两个月之后，江南化工就对收购预案做出修订，对募集配套资金额做出调整，由30亿元降为15亿元，募集配套资金计划“腰斩”一半。在最新的收购草案中，募集配套资金额再遭调减，仅为6.2亿元。\n　　而与配套资金骤减相对应的是，其募资用途也发生了变化。最初的收购预案显示，募资用于山西盾安隰县 98mw 风电场、甘肃瓜州北大桥 100mw 风电场、通渭黑燕山二期 100mw 风电场、内蒙古包头百灵庙三期 100mw 风电场四个项目，现如今，这6.2亿元的资金仅拟用于山西盾安隰县的项目。\n　　此前曾有媒体质疑，盾安新能源的在建和拟建项目大多数位于红色预警的省区，能否如期获得收益存疑。\n　　根据国家能源局于2017年2月份发布2017年度风电开发投资预警，在红色预警的省(区)新建风电项目将不会被核准，也无法并网。红色预警区域分别为内蒙古、黑龙江、吉林、宁夏、甘肃、新疆(含兵团)等省(区)。\n　　江南化工最初募集配套资金用于的四个项目中，有三个处于红色预警省区内，只有山西盾安隰县的项目得以幸免，而最近的收购草案仅保留了此项目，这或许是为了规避上述规定为其带来的风险。\n　　除募集配套资金两度做出调整外，为解决标的公司与盾安控股下属企业华创风能之间的同业竞争问题，盾安新能源将从事风电设备研发和制造业务的子公司久和装备进行了剥离，转让给盾安惠众。因此，其交易作价在今年9月份做出了调整，由最初的39.80亿元，调减为24.99亿元。\n　　不过，当时的转让价格为1.38亿元，而在收购草案中对久和装备预估值则为18.31亿元。此问题也受到了证监会的问询。\n　　江南化工对此解释称，收购预案中，评估机构采用收益法对盾安新能源长期股权投资企业久和装备进行预估；而在本次股权转让中，采用协商作价方式。预案时对久和装备的估值与本次股权转让的交易目的、交易时点、作价依据等因素均存在较大差异，不具有可比性。\n　　除此之外，值得注意的是，在收购期间，江南化工内部审计负责人、监事景文博及董事、董事会秘书赵磊皆因个人原因相继辞职。\n　　业内人士表示，董事会秘书在公司的地位中一般分为两种，一种为专职董秘，负责信息披露和合作关系层面；另一种则是负责兼投并购。一般而言，董事会秘书对收购项目的主导性较强于内部审计人，内部审计负责人一般作为项目的配合者。在收购过程中相继辞职，有可能是因为其能力欠佳，或者牵扯到个人利益等原因，再或者对公司收购不满意，但要具体问题具体分析。\n　　未来盈利或存风险\n　　伴随着交易作价做出调整，江南化工对于标的公司盾安新能源的业绩承诺也随之降低。\n　　根据江南化工的公告，其对盾安新能源的业绩承诺最初为：2017 年度、2018 年度、2019 年度及2020 年度扣除非经常性损益后归属于母公司股东的净利润应不低于1.42亿元、2.43亿元、3.47亿元和 4.36亿元，四年累计不低于11.68亿元。如今，收购草案几经修改后，这几年的业绩承诺分别降为1.07亿元、1.51亿元、1.72亿元和 2.07元，四年累计不低于6.37亿元，“缩水”近一半。\n　　尽管如此，证监会仍对此向江南化工提出问询，要求后者说明盾安新能源2017年~2020年承诺净利润较报告期净利润增长较快的原因及合理性。\n　　针对此次收购的相关进展问题，记者也多次致电江南化工问询，但该公司工作人员表示，公司正在召开股东大会及管理论坛，暂不方便采访。\n　　公开资料显示，盾安新能源主要从事风电场、光伏电站的开发、建设、运营等业务。目前我国风力、光伏发电企业的售电收入主要包括两部分，即当地燃煤机组标杆上网电价和电价补贴。\n　　江南化工表示，在弃风限电有所改善的情况下，标的公司既有风电场及光伏电站项目的存量业绩，加上新建项目的新增业绩是承诺净利润较报告期净利润增长较快的原因。\n　　不过，业内人士对记者表示，新能源发电需要进入国家可再生能源电价附加资金补助目录，才有希望拿到补贴。而最新第六批国家可再生能源电价附加资金补助目录还是2016年下发的，第七批于今年申报，截止到目前还未下发。\n　　而收购草案中显示，盾安新能源多个项目为2015年2月以后并网，尚未纳入前六批可再生能源电价附加资金补助目录，因此电价补贴款尚未结算。\n　　除电价补贴无法及时获取外，上网电价的调整也可能为标的公司的盈利带来风险。\n　　卓创资讯新能源分析师冯海城表示，由于2018年国家将调整风电上网电价，风电企业将会在短期内面临较大经营压力。对于技术条件好、所处地区风力资源好的企业，相对来说经营压力并不是很大，但是对于风力资源较差且技术不足的企业来说，平价上网会带来较大的经营压力。\n　　电价补贴无法及时获取，再加上不断新增的项目，导致标的公司的应收账款逐年增长，2015年、2016度，标的公司资产应收账款余额分别为2.18亿元、3.65亿元，占对应营业收入的比重为74.34%、84.73%。\n　　虽然江南化工表示并不担心盾安新能源的回款能力，但是与同类可比上市公司相比，其应收账款占营业收入的比重较高。其中，金风科技对应年度占比为45.02%、55.11%。而湘电股份应收账款占营业收入的比重为69.52%、62.36%。\n　　应收账款逐年增加，意味着企业无法第一时间收到现金。不仅如此，盾安新能源还需要每年支出高额的利息，在2015年度、2016年度、2017年1~6月，利息支出分别为1.82亿元、2.00亿元及1.17亿元(含资本化利息支出)。\n　　不仅如此，盾安新能源子公司贵州风电项目等用地尚未取得土地使用权证，部分子公司的已建成房屋的权属证书尚在办理中，还有部分土地性质为划拨用地。这些都可能对标的公司经营稳定性产生一定影响。为此，盾安控股还就标的资产存在的资产权属瑕疵出具了赔偿的承诺。
c65c1005172_yItFguTwwQeXpzEQ97UwfA==|
3d041000812_vu/hvsKGVPqREwJRi58TQQ==|　　12月15日，在土耳其伊斯坦布尔，一名中国厨师在烹制菜肴。 　　“丝路异彩——中华美食文化节”15日在土耳其伊斯坦布尔阿依登大学举办，中国厨师除展示精湛厨艺外，还与土耳其同行和学校师生进行了交流。 　　新华社记者 贺灿铃 摄
24461008939_eymia3xxPIAV9KgOITr4zA==|小武家有两兄弟，当年两兄弟学习成绩都非常好，但是家里只能供得起一个人上学，为了让哥哥能顺利读完大学，懂事的小武毅然决定放弃学业，初中刚毕业他便背起行囊踏上打工的旅途。\n父亲瘫痪在床，母亲只能打些临工边照顾父母边艰难的维持这个家，好在这么多年来，小武凭着自己的努力每月寄钱回家，不仅能供的起哥哥上学，还能有剩余给父亲治病。\n许多年后，哥哥终于大学毕业，有了好工作，不仅娶了个城里漂亮懂事的媳妇，还在城里安了家。\n小武在父亲去世后便打算不再外出工作，在家里找活干，毕竟母亲也老了身边不能没有人在。\n小武也到了谈婚论嫁的年纪，家里媒婆给说了门亲事，可是女方家开口要8万8的彩礼，小武一时拿不出这么多，电话里也不好意思说，便亲自去到城里大哥家，想着找他借5万。\n到了大哥家，哥哥嫂子和还有他岳父岳母都在，看到小武突然来访，大家都有点吃惊，小武确实很少来他们家，大嫂爸妈都是城里退休干部，都是有单位的人，小武怕他们看不起自己，还会连累大哥。\n小武说明了自己的来意，大哥沉默了，他岳母脸色明显也不太好，可能是嫌弃小武来借钱了，正准备张口说什么，突然大哥说最近手头有点紧没有钱，说你还没吃饭吧，转身跟打大嫂说把家里剩下的一些榨菜打包给我弟带回去吃。\n嫂子麻利的去收拾好，没几分钟红黑色的塑料袋包了一大包给小武，说道你快回家吧，拿这些给妈尝尝鲜！\n小武有点崩溃了，哎，嫂子这么快就撵我出门了吗？不过哥现在自己也有家庭了有老婆孩子，压力可能也大，没钱了也没办法，于是接过东西，小武道了谢就走了。\n回到家里小武一声不啃，把榨菜交给母亲就进房间了，不一会儿，母亲慌忙的叫小武进厨房，小武一看傻眼了，榨菜袋子里2万元整整齐齐的包在里面。\n小武十分吃惊，赶紧想拿起电话想问问哥怎么回事，却看了一条短信是哥发的：\n小武，原谅哥刚才的做法，你也知道之前哥买了车，那钱是管你嫂子爸妈借的，我当时承诺有钱了就还他们，他们如果知道了我有钱不还也不好，你就先拿2万去用，还有3万我明天转账到你卡里。这么多年来，我欠你的我一直很愧疚，当哥哥的实在对不起你！\n看到这短信后小武泪流满面，妈妈也一直说这是你哥欠你的，他该这样做，我就知道他不可能是白眼狼！\n有的人觉得小武哥哥做法不对，为什么要赶弟弟出门，不愿让富亲戚看见自己的穷亲戚吗？有的人也理解小武哥哥的无奈，表示可以接受。那么你觉得他的做法对吗？\n1
a3391008939_b9QlRnWGThb2WEbRqKZHpA==|《爸爸去哪儿》第五季已经收官，看到节目组做的视频真的好感慨，也好感动，原来，这些萌娃已经陪伴我们整整十二期，感谢这些萌娃曾经闯进过我的世界，给予我温暖和感动。\nmax\nmax是这一期最小的萌娃，又因为不会中文，所以热得相当慢，当和小伙伴们熟络起来的时候已经是分别的时候，但是作为护姐狂魔的小小男子汉还是相当圈粉的。\nneinei\n1234下一页
6b551011589_VdE7EhlHD5f4wRB4A6/H4g==|虎扑 12 月 15 日讯 英超官方公布了 11 月份最佳进球得主，在埃弗顿主场 4-0 击败西汉姆联的比赛中，鲁尼上演 " 太妃糖 " 生涯首个帽子戏法，他的中场吊射夺魁。\n比赛的进球出现在第 66 分钟，乔 - 哈特弃门出击解围，但是皮球不巧刚好落在鲁尼脚下，鲁尼中圈附近直接发炮，皮球飞入网窝。鲁尼也完成了他在埃弗顿的首个帽子戏法。\n[ 来源 : 英超官网 ]
bff61012935_24PDbE1CoQTQBgL4KxwJCA==|宜阳县气象台2017年12月16日07时15分发布大风蓝色预警信号：预计24小时内宜阳县大部分地区将受大风影响，出现5级左右偏西风，阵风6到7级，请注意防范。
05021008939_EJQukGbLucpUWw41eNtzLg==|发发1992年进入股市，1997年开始全职炒股，在股市已沉浮二十几载。与宝马车进去、自行车出来，对中国股市充满失望的散户不同，在二十多年间，他的资金已有数百倍的增长。\n有这样令人羡慕的成绩，发发坦言首先是运气，a股的几次大牛市都赶上了。\n最早的机遇便在1992年。1992年5月21日，上海股市全面放开股价，改变了过去股价涨跌幅与流量的严格控制，以至于上证指数从前一天的623点飙升至1334点，上涨超过100%，而后在5月26日达到全年最高点1429点。股市在几天内的疯狂转变吸引了大批投资者，其中就包括发发，他正是从这时起开始关注股市。\n发发在11月底入市，“下跌了一两个星期，然后股市就开始涨了，比较幸运地赶上了这波牛市。”\n他最早买入的是冰箱压缩和氯碱化工两支新发行的股票，都在50多块的价格买入，“我从招股说明书上看，这东西不错，赚钱比我的木工厂多，股价不算很高，低于发行价。” 11月的沪市先是经历了暴跌，跌至386点，25日单日涨幅达到30%左右，经过13天涨至826点，在93年年初开盘后，又冲破1000点大关。半年不到，他将两支股票以260、250的价格卖出，获利超过5倍。\n那似乎是个闭着眼也能赚钱的年代，发发感叹，炒股比开厂好赚多了，“从几百点到一千点没几个月，放进去一万能赚十万，而我两个厂一年才赚一两万。”当然股市也并非让他稳赚不赔，此后股市很快再次暴跌，他也经历了亏损，接着他炒过波段，做过t+0，但都未能复制最初的战绩。\n从失败中，他意识到到长期投资的必要，因为“投机是赚不到钱的。”\n他非常认同一些大师的观点，长期投资的前提便是捡便宜、捡别人不要的东西。在选择股票时，发发可以说是固执己见，从来不看各种评论分析，仅依据公开渠道发布的信息，如公司财报和公告，然后得出自己的投资判断。他在95年入手四川长虹便是他依据个人判断成功实现长期投资的有力佐证。\n12下一页
7a1f1008939_Wg96UymMu9MYmjIuuav1Ow==|她，是每个走进孝谦中心首先看到的一个人，常见到她伏案于接待部的办公桌前。她笑容可掬，见人便是标准的90度鞠躬问候。几年前因为孩子不听话，她带着孩子走进孝谦传统文化学习中心，参加弟子规公益班的学习。几年后，她毅然决定留在孝谦中心，一呆就是四年。灿烂笑容的背后，是她多年熏习传统文化所蕴藏的书香气息。眉宇之间一颗美人痣，宛如一朵荡漾在水面上的浮萍，给她的笑容增添了几分灵气。她就是孝谦中心聚贤舍（接待部）的有志美人——陈国珍。\n走近陈国珍，总能感受到一种东方女性的柔美，她虽不健谈，但谈吐之间总会把最端庄、美好的一面展现在大家面前。一丝自信的微笑，不经意间仿佛一缕阳光给人温暖，消除宾客心中的阴霾。\n问起她是什么原因进入孝谦中心，她笑着说是孩子当时不听话，又常和家里人闹得不开心，听说这里有免费的弟子规公益学习班，就抱着试试看的心态带着孩子一起学习。没想到她比孩子学得还认真、积极。圣贤的智慧竟有如此的有魅力，让她决定留在这里继续学习，成为孝谦中心的一名常驻义工，乐此不彼！\n印像之中负责接待的人，都是年轻貌美的妙龄少女。但是，从她身上散发出来的气息，让众多前来孝谦中心的人，记住了这位大姐。问她在孝谦中心有何收获，她淡然笑曰，学会了如何做人、做事，如果用一个字来概括，就是善。\n12下一页
